"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10279","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 15:00:30 UTC 2025","passed","Thu Dec 04 15:00:41 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","9597","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 14:59:32 UTC 2025","passed","Thu Dec 04 14:59:42 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","8360","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 15:00:59 UTC 2025","passed","Thu Dec 04 15:01:07 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","4285","Verify that products are sorted correctly","TestSuite","Thu Dec 04 14:59:00 UTC 2025","passed","Thu Dec 04 14:59:04 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","3872","Verify that products are sorted correctly","TestSuite","Thu Dec 04 14:59:51 UTC 2025","passed","Thu Dec 04 14:59:55 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","4017","Verify that products are sorted correctly","TestSuite","Thu Dec 04 14:59:22 UTC 2025","passed","Thu Dec 04 14:59:26 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","11402","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 14:58:59 UTC 2025","passed","Thu Dec 04 14:59:10 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","7337","Verify that user can add and remove product from cart","TestSuite","Thu Dec 04 14:58:33 UTC 2025","passed","Thu Dec 04 14:58:41 UTC 2025","tests.CartTest","AllTests","tests.CartTest","addAndRemoveProductFromCartTest"
"","3732","Verify that products are sorted correctly","TestSuite","Thu Dec 04 14:58:36 UTC 2025","passed","Thu Dec 04 14:58:40 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","10732","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 15:00:01 UTC 2025","passed","Thu Dec 04 15:00:11 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","9576","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 14:58:32 UTC 2025","passed","Thu Dec 04 14:58:41 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","10490","Verify that user can login with valid credentials","TestSuite","Thu Dec 04 14:58:37 UTC 2025","passed","Thu Dec 04 14:58:48 UTC 2025","tests.LoginTest","AllTests","tests.LoginTest","validLoginTest"
